Date,Clean_Energy
8/31/2011,842.65
9/1/2011,824.99
9/2/2011,791.99
9/5/2011,776.69
9/6/2011,755.55
9/7/2011,773.66
9/8/2011,759.44
9/9/2011,719.21
9/12/2011,704.91
9/13/2011,710.41
9/14/2011,722.09
9/15/2011,720.46
9/16/2011,708.14
9/19/2011,680.6
9/20/2011,661.78
9/21/2011,643.75
9/22/2011,604.95
9/23/2011,613.84
9/26/2011,615.85
9/27/2011,633.19
9/28/2011,611.35
9/29/2011,610.09
9/30/2011,591.4
10/3/2011,556.35
10/4/2011,562.97
10/5/2011,581.53
10/6/2011,614.39
10/7/2011,593.84
10/10/2011,610.01
10/11/2011,602.18
10/12/2011,615.41
10/13/2011,616.34
10/14/2011,624.33
10/17/2011,603.13
10/18/2011,610.2
10/19/2011,599.84
10/20/2011,598.67
10/21/2011,599.23
10/24/2011,623.16
10/25/2011,608.12
10/26/2011,614.02
10/27/2011,658.93
10/28/2011,662.63
10/31/2011,622.28
11/1/2011,594.27
11/2/2011,602.4
11/3/2011,602.32
11/4/2011,607.15
11/7/2011,609.7
11/8/2011,604.84
11/9/2011,588.81
11/10/2011,580.38
11/11/2011,597.43
11/14/2011,589.54
11/15/2011,580.71
11/16/2011,577.89
11/17/2011,572.88
11/18/2011,567.64
11/21/2011,551.39
11/22/2011,552.59
11/23/2011,542.44
11/24/2011,543.37
11/25/2011,536.29
11/28/2011,553.82
11/29/2011,553.46
11/30/2011,580.86
12/1/2011,583.01
12/2/2011,580.11
12/5/2011,584.25
12/6/2011,574.9
12/7/2011,580.17
12/8/2011,566.91
12/9/2011,571.06
12/12/2011,558.33
12/13/2011,552.33
12/14/2011,537.15
12/15/2011,538.33
12/16/2011,540.15
12/19/2011,532.29
12/20/2011,546.05
12/21/2011,544.57
12/22/2011,551.42
12/23/2011,556
12/26/2011,554.24
12/27/2011,551.5
12/28/2011,543.82
12/29/2011,548.33
12/30/2011,556.14
1/2/2012,560.97
1/3/2012,569.01
1/4/2012,562.62
1/5/2012,556.18
1/6/2012,553.65
1/9/2012,559.45
1/10/2012,571.65
1/11/2012,589.51
1/12/2012,599.79
1/13/2012,584.38
1/16/2012,583.51
1/17/2012,591.68
1/18/2012,603.51
1/19/2012,597.9
1/20/2012,597.26
1/23/2012,596.52
1/24/2012,590.88
1/25/2012,592.22
1/26/2012,602.26
1/27/2012,613.81
1/30/2012,605.24
1/31/2012,600.1
2/1/2012,607.74
2/2/2012,613.91
2/3/2012,622.92
2/6/2012,625.75
2/7/2012,633.12
2/8/2012,640.18
2/9/2012,666.18
2/10/2012,652.91
2/13/2012,647.13
2/14/2012,636.54
2/15/2012,634.1
2/16/2012,634.48
2/17/2012,647.15
2/20/2012,651.88
2/21/2012,653.85
2/22/2012,648.11
2/23/2012,630.34
2/24/2012,623.77
2/27/2012,618.43
2/28/2012,623.44
2/29/2012,612.62
3/1/2012,611.78
3/2/2012,613.96
3/5/2012,605.96
3/6/2012,590.3
3/7/2012,588.38
3/8/2012,594.89
3/9/2012,600.77
3/12/2012,593.92
3/13/2012,604.39
3/14/2012,599.66
3/15/2012,605.23
3/16/2012,609.52
3/19/2012,604.39
3/20/2012,602.17
3/21/2012,594.86
3/22/2012,591.79
3/23/2012,597.32
3/26/2012,598.56
3/27/2012,598.89
3/28/2012,585.49
3/29/2012,581.09
3/30/2012,581.37
4/2/2012,579.94
4/3/2012,577.96
4/4/2012,565.38
4/5/2012,567.7
4/6/2012,568.16
4/9/2012,561.46
4/10/2012,557.07
4/11/2012,562.04
4/12/2012,564.32
4/13/2012,555
4/16/2012,555.04
4/17/2012,563.48
4/18/2012,559.08
4/19/2012,554.11
4/20/2012,550.87
4/23/2012,536.03
4/24/2012,537.85
4/25/2012,540.18
4/26/2012,538.96
4/27/2012,542.33
4/30/2012,540.01
5/1/2012,542.43
5/2/2012,538.81
5/3/2012,529.32
5/4/2012,526.04
5/7/2012,519.56
5/8/2012,514.76
5/9/2012,508.89
5/10/2012,512.06
5/11/2012,507.13
5/14/2012,494.47
5/15/2012,481.24
5/16/2012,472.39
5/17/2012,465.14
5/18/2012,450.58
5/21/2012,451.45
5/22/2012,453.62
5/23/2012,447.71
5/24/2012,448.81
5/25/2012,448.13
5/28/2012,449.93
5/29/2012,453.12
5/30/2012,447.84
5/31/2012,444.92
6/1/2012,435.84
6/4/2012,431.72
6/5/2012,436.2
6/6/2012,442.27
6/7/2012,445.22
6/8/2012,444.9
6/11/2012,441.13
6/12/2012,447.17
6/13/2012,444.89
6/14/2012,444.48
6/15/2012,456.3
6/18/2012,455.9
6/19/2012,463.92
6/20/2012,468.53
6/21/2012,458.73
6/22/2012,457.55
6/25/2012,449.48
6/26/2012,446.13
6/27/2012,449.87
6/28/2012,449.32
6/29/2012,462.52
7/2/2012,464.41
7/3/2012,469.36
7/4/2012,469.53
7/5/2012,462.56
7/6/2012,457.83
7/9/2012,449.27
7/10/2012,446.75
7/11/2012,446.27
7/12/2012,442.54
7/13/2012,441.76
7/16/2012,440.15
7/17/2012,436.39
7/18/2012,428.3
7/19/2012,429.52
7/20/2012,419.67
7/23/2012,406.98
7/24/2012,398.53
7/25/2012,392.63
7/26/2012,399.72
7/27/2012,406.01
7/30/2012,399.04
7/31/2012,406.05
8/1/2012,402.17
8/2/2012,402.68
8/3/2012,409.97
8/6/2012,421.9
8/7/2012,431.86
8/8/2012,435.1
8/9/2012,437.67
8/10/2012,433.51
8/13/2012,429.62
8/14/2012,432.89
8/15/2012,429.95
8/16/2012,437.66
8/17/2012,442.24
8/20/2012,444.95
8/21/2012,451.57
8/22/2012,446.99
8/23/2012,448.34
8/24/2012,445.94
8/27/2012,442.22
8/28/2012,444.2
8/29/2012,437.94
8/30/2012,423.94
8/31/2012,427.43
9/3/2012,429.02
9/4/2012,426.15
9/5/2012,423
9/6/2012,429.48
9/7/2012,437.61
9/10/2012,440.12
9/11/2012,437.95
9/12/2012,428.86
9/13/2012,432.28
9/14/2012,443.28
9/17/2012,442.61
9/18/2012,443.79
9/19/2012,448.67
9/20/2012,440.76
9/21/2012,443.58
9/24/2012,443.19
9/25/2012,442.28
9/26/2012,433.01
9/27/2012,440.89
9/28/2012,436.07
10/1/2012,438.89
10/2/2012,439.43
10/3/2012,433.21
10/4/2012,434.83
10/5/2012,436.38
10/8/2012,435.16
10/9/2012,428.23
10/10/2012,424.78
10/11/2012,429.9
10/12/2012,428.44
10/15/2012,430.72
10/16/2012,437.59
10/17/2012,444.42
10/18/2012,447.66
10/19/2012,435.09
10/22/2012,433.9
10/23/2012,418.04
10/24/2012,415.62
10/25/2012,417.26
10/26/2012,412.34
10/29/2012,414.28
10/30/2012,414.15
10/31/2012,413.21
11/1/2012,413.83
11/2/2012,410.2
11/5/2012,405.55
11/6/2012,412.45
11/7/2012,411.67
11/8/2012,407.95
11/9/2012,404.15
11/12/2012,399.03
11/13/2012,398.04
11/14/2012,394.34
11/15/2012,396.11
11/16/2012,399.34
11/19/2012,407.41
11/20/2012,403.24
11/21/2012,404.24
11/22/2012,405.79
11/23/2012,412.1
11/26/2012,419.54
11/27/2012,415.58
11/28/2012,415.18
11/29/2012,421.19
11/30/2012,421.62
12/3/2012,417.52
12/4/2012,421.94
12/5/2012,423.91
12/6/2012,428.19
12/7/2012,434.3
12/10/2012,433.77
12/11/2012,436.09
12/12/2012,443.06
12/13/2012,443.38
12/14/2012,449.08
12/17/2012,463.13
12/18/2012,457.36
12/19/2012,465.37
12/20/2012,470.67
12/21/2012,469.47
12/24/2012,466.48
12/25/2012,469.21
12/26/2012,467.5
12/27/2012,463.85
12/28/2012,456.26
12/31/2012,457.03
1/1/2013,457.03
1/2/2013,468.33
1/3/2013,475.4
1/4/2013,480.68
1/7/2013,477.53
1/8/2013,472.5
1/9/2013,479.66
1/10/2013,486.96
1/11/2013,487.73
1/14/2013,483.95
1/15/2013,485.64
1/16/2013,479.86
1/17/2013,479.28
1/18/2013,481.94
1/21/2013,479.5
1/22/2013,482.86
1/23/2013,482.27
1/24/2013,478.12
1/25/2013,473.44
1/28/2013,470.12
1/29/2013,470.51
1/30/2013,470.02
1/31/2013,467.02
2/1/2013,465.71
2/4/2013,461.23
2/5/2013,456.32
2/6/2013,463.84
2/7/2013,465.21
2/8/2013,461.85
2/11/2013,463.9
2/12/2013,469.46
2/13/2013,466.97
2/14/2013,474.34
2/15/2013,478.16
2/18/2013,476.15
2/19/2013,476.11
2/20/2013,479.44
2/21/2013,470.66
2/22/2013,470.62
2/25/2013,469.66
2/26/2013,462.71
2/27/2013,462.83
2/28/2013,465.75
3/1/2013,463.9
3/4/2013,462.37
3/5/2013,466.61
3/6/2013,469.79
3/7/2013,470.47
3/8/2013,470.49
3/11/2013,469.43
3/12/2013,464.85
3/13/2013,458.67
3/14/2013,465.21
3/15/2013,468.65
3/18/2013,461.58
3/19/2013,462.14
3/20/2013,466.3
3/21/2013,471.71
3/22/2013,474.84
3/25/2013,465.31
3/26/2013,467.1
3/27/2013,466.95
3/28/2013,468.89
3/29/2013,471.5
4/1/2013,469.97
4/2/2013,461.57
4/3/2013,462.71
4/4/2013,458.87
4/5/2013,457.81
4/8/2013,461.49
4/9/2013,479.06
4/10/2013,492.19
4/11/2013,499.43
4/12/2013,517.13
4/15/2013,521.81
4/16/2013,519
4/17/2013,506.7
4/18/2013,499.64
4/19/2013,507.65
4/22/2013,508.04
4/23/2013,513.22
4/24/2013,520.3
4/25/2013,522.1
4/26/2013,521.5
4/29/2013,529.55
4/30/2013,536
5/1/2013,537.98
5/2/2013,536.98
5/3/2013,536.96
5/6/2013,540.09
5/7/2013,543.42
