Effective date ,S&P 500 Energy (Sector)
8/31/2011,506.52
9/1/2011,502.12
9/2/2011,489.4
9/6/2011,483.84
9/7/2011,501.5
9/8/2011,495.38
9/9/2011,479.28
9/12/2011,481.82
9/13/2011,483.01
9/14/2011,489.21
9/15/2011,499
9/16/2011,498.61
9/19/2011,491.32
9/20/2011,488.29
9/21/2011,468.86
9/22/2011,444.02
9/23/2011,440.57
9/26/2011,456.24
9/27/2011,463.12
9/28/2011,449.2
9/29/2011,455.47
9/30/2011,442.79
10/3/2011,428.25
10/4/2011,441.75
10/5/2011,456.5
10/6/2011,463.77
10/7/2011,458.1
10/10/2011,478.54
10/11/2011,478.77
10/12/2011,482.46
10/13/2011,480.97
10/14/2011,498.17
10/17/2011,489.74
10/18/2011,504.5
10/19/2011,499.85
10/20/2011,503.17
10/21/2011,512.36
10/24/2011,518.25
10/25/2011,507.86
10/26/2011,519.27
10/27/2011,539.32
10/28/2011,541.85
10/31/2011,517.85
11/1/2011,501.74
11/2/2011,516.05
11/3/2011,528.9
11/4/2011,528.15
11/7/2011,531.96
11/8/2011,539.15
11/9/2011,516.19
11/10/2011,525.25
11/11/2011,534.89
11/14/2011,528.4
11/15/2011,527.6
11/16/2011,519.55
11/17/2011,508.53
11/18/2011,506.09
11/21/2011,497.56
11/22/2011,492.81
11/23/2011,478.52
11/25/2011,474.51
11/28/2011,491.48
11/29/2011,498.99
11/30/2011,526.41
12/1/2011,522.76
12/2/2011,522.32
12/5/2011,528.47
12/6/2011,528.85
12/7/2011,525.03
12/8/2011,511.58
12/9/2011,522.91
12/12/2011,510.61
12/13/2011,507.98
12/14/2011,494.18
12/15/2011,493.02
12/16/2011,497.4
12/19/2011,489.2
12/20/2011,508.52
12/21/2011,514.42
12/22/2011,520.29
12/23/2011,524.47
12/27/2011,525.49
12/28/2011,515.62
12/29/2011,521.62
12/30/2011,520.81
1/3/2012,534.38
1/4/2012,535.16
1/5/2012,531.91
1/6/2012,529.04
1/9/2012,532.06
1/10/2012,535.89
1/11/2012,528.84
1/12/2012,524.36
1/13/2012,522.47
1/17/2012,526.3
1/18/2012,534.25
1/19/2012,536.43
1/20/2012,537
1/23/2012,540.54
1/24/2012,539.1
1/25/2012,544.78
1/26/2012,537.56
1/27/2012,535.34
1/30/2012,533.06
1/31/2012,528.53
2/1/2012,530.95
2/2/2012,533.51
2/3/2012,543.29
2/6/2012,549.34
2/7/2012,552.03
2/8/2012,549.01
2/9/2012,548.72
2/10/2012,542.98
2/13/2012,547.41
2/14/2012,548.53
2/15/2012,546.77
2/16/2012,553.53
2/17/2012,555.03
2/21/2012,559.62
2/22/2012,560.74
2/23/2012,563.49
2/24/2012,565.66
2/27/2012,563.98
2/28/2012,563.14
2/29/2012,557.36
3/1/2012,562.47
3/2/2012,556.19
3/5/2012,554.41
3/6/2012,545.37
3/7/2012,548.83
3/8/2012,551.56
3/9/2012,550.8
3/12/2012,549.18
3/13/2012,556.16
3/14/2012,550.59
3/15/2012,551.31
3/16/2012,557.69
3/19/2012,560.98
3/20/2012,552.97
3/21/2012,547.21
3/22/2012,535.84
3/23/2012,541.01
3/26/2012,545.95
3/27/2012,540.83
3/28/2012,534.19
3/29/2012,534.42
3/30/2012,538.43
4/2/2012,543.41
4/3/2012,538.06
4/4/2012,531.52
4/5/2012,528.72
4/9/2012,521.99
4/10/2012,511.89
4/11/2012,512
4/12/2012,522.64
4/13/2012,514.39
4/16/2012,513.04
4/17/2012,522.04
4/18/2012,521.01
4/19/2012,519.53
4/20/2012,519.06
4/23/2012,518.5
4/24/2012,522.32
4/25/2012,526.88
4/26/2012,530.77
4/27/2012,530.49
4/30/2012,533.15
5/1/2012,540.68
5/2/2012,532
5/3/2012,524.11
5/4/2012,512.76
5/7/2012,511.65
5/8/2012,509.77
5/9/2012,506.16
5/10/2012,508.03
5/11/2012,504.42
5/14/2012,496.59
5/15/2012,489.22
5/16/2012,486.95
5/17/2012,483.63
5/18/2012,480.27
5/21/2012,490.45
5/22/2012,488.87
5/23/2012,490.77
5/24/2012,490.48
5/25/2012,488.9
5/29/2012,495.38
5/30/2012,480.65
5/31/2012,476.51
6/1/2012,466.44
6/4/2012,466.27
6/5/2012,469.09
6/6/2012,483.84
6/7/2012,484.71
6/8/2012,484.73
6/11/2012,479.07
6/12/2012,485.27
6/13/2012,479.96
6/14/2012,487.97
6/15/2012,496.71
6/18/2012,492.54
6/19/2012,499.52
6/20/2012,498
6/21/2012,478.12
6/22/2012,480.17
6/25/2012,471.13
6/26/2012,476.38
6/27/2012,485.34
6/28/2012,488.25
6/29/2012,503.27
7/2/2012,503.13
7/3/2012,514.04
7/5/2012,506.99
7/6/2012,501.52
7/9/2012,498.67
7/10/2012,491.77
7/11/2012,498.59
7/12/2012,496.49
7/13/2012,505.18
7/16/2012,506.67
7/17/2012,512.57
7/18/2012,516.82
7/19/2012,517.78
7/20/2012,518.11
7/23/2012,513.11
7/24/2012,505.94
7/25/2012,506.64
7/26/2012,520.18
7/27/2012,528.23
7/30/2012,529.55
7/31/2012,523.7
8/1/2012,526.23
8/2/2012,517.51
8/3/2012,529.72
8/6/2012,530.48
8/7/2012,537.5
8/8/2012,538.4
8/9/2012,540.36
8/10/2012,542.1
8/13/2012,539.38
8/14/2012,538.87
8/15/2012,537.29
8/16/2012,542.49
8/17/2012,541.32
8/20/2012,539.98
8/21/2012,538.01
8/22/2012,539.45
8/23/2012,534.14
8/24/2012,537.64
8/27/2012,537
8/28/2012,537.93
8/29/2012,534.82
8/30/2012,529.06
8/31/2012,533.54
9/4/2012,529.83
9/5/2012,528.26
9/6/2012,538.87
9/7/2012,547.66
9/10/2012,545.2
9/11/2012,550.17
9/12/2012,552.33
9/13/2012,562.54
9/14/2012,569.9
9/17/2012,565.44
9/18/2012,561.37
9/19/2012,556.12
9/20/2012,558.53
9/21/2012,559.57
9/24/2012,556.66
9/25/2012,551.69
9/26/2012,546.8
9/27/2012,553.93
9/28/2012,551.19
10/1/2012,554.18
10/2/2012,554.42
10/3/2012,548.24
10/4/2012,553.75
10/5/2012,552.93
10/8/2012,553.7
10/9/2012,553.75
10/10/2012,543.84
10/11/2012,547.08
10/12/2012,544.24
10/15/2012,547.04
10/16/2012,555.46
10/17/2012,562.02
10/18/2012,562.19
10/19/2012,553.76
10/22/2012,551.38
10/23/2012,538.35
10/24/2012,534.98
10/25/2012,539.93
10/26/2012,540.44
10/31/2012,539.94
11/1/2012,543.14
11/2/2012,533.87
11/5/2012,537.74
11/6/2012,546.16
11/7/2012,529.44
11/8/2012,520.71
11/9/2012,520.82
11/12/2012,521.54
11/13/2012,518.57
11/14/2012,511.96
11/15/2012,512.49
11/16/2012,514.35
11/19/2012,525.8
11/20/2012,523.72
11/21/2012,526.61
11/23/2012,533.58
11/26/2012,529.21
11/27/2012,524.2
11/28/2012,529.88
11/29/2012,530.38
11/30/2012,530.21
12/3/2012,526.97
12/4/2012,524.95
12/5/2012,528.62
12/6/2012,530.23
12/7/2012,533.69
12/10/2012,533.16
12/11/2012,536.09
12/12/2012,538.22
12/13/2012,533.45
12/14/2012,531.05
12/17/2012,535.74
12/18/2012,544.76
12/19/2012,540.42
12/20/2012,544.35
12/21/2012,538.03
12/24/2012,534.15
12/26/2012,532.16
12/27/2012,531.43
12/28/2012,522.03
12/31/2012,532.96
1/2/2013,545.39
1/3/2013,544.85
1/4/2013,550.56
1/7/2013,546.06
1/8/2013,545.19
1/9/2013,544.08
1/10/2013,549.24
1/11/2013,550.46
1/14/2013,550.41
1/15/2013,552.49
1/16/2013,554.2
1/17/2013,558.03
1/18/2013,563.07
1/22/2013,567.98
1/23/2013,565.89
1/24/2013,568.31
1/25/2013,573.26
1/28/2013,571.38
1/29/2013,580.33
1/30/2013,576.47
1/31/2013,573.41
2/1/2013,578.72
2/4/2013,573.23
2/5/2013,577.41
2/6/2013,577.57
2/7/2013,574.53
2/8/2013,579.27
2/11/2013,576.04
2/12/2013,577.85
2/13/2013,579.07
2/14/2013,582.1
2/15/2013,575.96
2/19/2013,582.61
2/20/2013,572.03
2/21/2013,568.2
2/22/2013,573.57
2/25/2013,559.15
2/26/2013,564.35
2/27/2013,572.96
2/28/2013,573.39
3/1/2013,572.13
3/4/2013,570.75
3/5/2013,574.87
3/6/2013,575.16
3/7/2013,576.61
3/8/2013,579.21
3/11/2013,579.42
3/12/2013,580.15
3/13/2013,579.07
3/14/2013,586.61
3/15/2013,585.73
3/18/2013,580.57
3/19/2013,575.11
3/20/2013,578.44
3/21/2013,575.41
3/22/2013,580.13
3/25/2013,577.93
3/26/2013,584.09
3/27/2013,585.81
3/28/2013,583.98
4/1/2013,583.88
4/2/2013,581.14
4/3/2013,571.78
4/4/2013,571.12
4/5/2013,571.16
4/8/2013,574
4/9/2013,578.31
4/10/2013,581.22
4/11/2013,583.87
4/12/2013,576.11
4/15/2013,553.79
4/16/2013,559.74
4/17/2013,548.87
4/18/2013,552.73
4/19/2013,552.56
4/22/2013,558.32
4/23/2013,564.69
4/24/2013,571.3
4/25/2013,570.45
4/26/2013,570.34
4/29/2013,575.94
4/30/2013,578.84
5/1/2013,569.36
5/2/2013,576.68
5/3/2013,587.07
5/6/2013,590.35
5/7/2013,594.33
5/8/2013,595.6
5/9/2013,593.95
5/10/2013,591.2
5/13/2013,591.06
5/14/2013,598.67
5/15/2013,596.44
5/16/2013,593.27
5/17/2013,602.63
5/20/2013,610.38
5/21/2013,610.14
5/22/2013,602.63
5/23/2013,601.43
5/24/2013,599.35
5/28/2013,605.39
5/29/2013,604.25
5/30/2013,602.87
5/31/2013,590.86
6/3/2013,596.79
6/4/2013,592.09
6/5/2013,585.45
6/6/2013,589.28
6/7/2013,596.22
6/10/2013,594.6
6/11/2013,586.23
6/12/2013,581.85
6/13/2013,591.98
6/14/2013,586.24
6/17/2013,593.84
6/18/2013,597.23
6/19/2013,591.24
6/20/2013,575.13
6/21/2013,576.99
6/24/2013,568.18
6/25/2013,574.49
6/26/2013,578.5
6/27/2013,579.78
6/28/2013,578.54
7/1/2013,581.76
7/2/2013,583.06
7/3/2013,583.21
7/5/2013,589.59
7/8/2013,593.72
7/9/2013,600.05
7/10/2013,596.56
7/11/2013,602.11
7/12/2013,604.48
7/15/2013,604.05
7/16/2013,600.67
7/17/2013,603.36
7/18/2013,609.03
7/19/2013,617.28
7/22/2013,615.76
7/23/2013,616.96
7/24/2013,611.06
7/25/2013,614.24
7/26/2013,612.55
7/29/2013,607.37
7/30/2013,605.65
7/31/2013,607.46
8/1/2013,614.56
8/2/2013,610.96
8/5/2013,609.26
8/6/2013,606.25
8/7/2013,604.15
8/8/2013,607.54
8/9/2013,604.56
8/12/2013,601.33
8/13/2013,602.34
8/14/2013,599.92
8/15/2013,595.94
8/16/2013,593.49
8/19/2013,584.37
8/20/2013,587.04
8/21/2013,583.87
8/22/2013,591.73
8/23/2013,596.12
8/26/2013,594.64
8/27/2013,591.05
8/28/2013,601.53
8/29/2013,594.99
8/30/2013,594.84
9/3/2013,598.33
9/4/2013,601.48
9/5/2013,602.98
9/6/2013,603.11
9/9/2013,609.27
9/10/2013,609.37
9/11/2013,613.98
9/12/2013,610.33
9/13/2013,610.62
9/16/2013,610.72
9/17/2013,613.31
9/18/2013,620.75
9/19/2013,619.42
9/20/2013,614.58
9/23/2013,611.53
9/24/2013,611.76
9/25/2013,611.45
9/26/2013,611.83
9/27/2013,609.94
9/30/2013,604.86
10/1/2013,608.14
10/2/2013,609.72
10/3/2013,604.6
10/4/2013,609.76
10/7/2013,605.45
10/8/2013,599.32
10/9/2013,597.37
10/10/2013,607.65
10/11/2013,613.92
10/14/2013,617.74
10/15/2013,615.08
10/16/2013,623.49
10/17/2013,624.83
10/18/2013,630.27
10/21/2013,627.86
10/22/2013,632.11
10/23/2013,623.6
