DATE,DCOILWTICO_PCH
1986-01-03,1.72144
1986-01-06,2.03846
1986-01-07,-2.56314
1986-01-08,0.07737
1986-01-09,0.61848
1986-01-10,-1.45985
1986-01-13,-2.22222
1986-01-14,-0.43860
1986-01-15,0.84101
1986-01-16,-4.76569
1986-01-17,-1.45955
1986-01-20,-9.73339
1986-01-21,-3.37553
1986-01-22,-1.74672
1986-01-23,-1.58025
1986-01-24,-2.40843
1986-01-27,7.30077
1986-01-28,-6.80402
1986-01-29,0.82262
1986-01-30,-0.15298
1986-01-31,-3.21757
1986-02-03,-8.07388
1986-02-04,-10.56257
1986-02-05,4.49294
1986-02-06,1.96560
1986-02-07,6.62651
1986-02-10,-5.19774
1986-02-11,-2.97974
1986-02-12,-3.31695
1986-02-13,4.38374
1986-02-14,-2.43457
1986-02-17,.
1986-02-18,.
1986-02-19,2.58503
1986-02-20,-6.29973
1986-02-21,-3.53857
1986-02-24,7.70360
1986-02-25,0.00000
1986-02-26,-0.40872
1986-02-27,-3.89877
1986-02-28,-5.83630
1986-03-03,-9.44822
1986-03-04,0.00000
1986-03-05,0.41736
1986-03-06,9.14381
1986-03-07,-6.77837
1986-03-10,5.71895
1986-03-11,2.24111
1986-03-12,6.19803
1986-03-13,-10.32028
1986-03-14,-0.39683
1986-03-17,5.81673
1986-03-18,5.64759
1986-03-19,-5.55952
1986-03-20,-3.77358
1986-03-21,9.41176
1986-03-24,-12.54480
1986-03-25,1.88525
1986-03-26,-3.21802
1986-03-27,-5.65254
1986-03-28,.
1986-03-31,.
1986-04-01,8.58537
1986-04-02,1.97664
1986-04-03,3.08370
1986-04-04,8.97436
1986-04-07,12.86275
1986-04-08,-10.84086
1986-04-09,1.32502
1986-04-10,3.46154
1986-04-11,1.33829
1986-04-14,-5.06236
1986-04-15,-1.70015
1986-04-16,-9.59119
1986-04-17,2.17391
1986-04-18,1.10638
1986-04-21,5.05051
1986-04-22,5.20833
1986-04-23,4.34120
1986-04-24,-0.36496
1986-04-25,4.24908
1986-04-28,-6.25439
1986-04-29,2.17391
1986-04-30,-1.83419
1986-05-01,3.13901
1986-05-02,6.15942
1986-05-05,-2.25256
1986-05-06,0.76816
1986-05-07,4.85100
1986-05-08,3.76735
1986-05-09,0.82803
1986-05-12,-0.50537
1986-05-13,-0.63492
1986-05-14,-0.76677
1986-05-15,0.96587
1986-05-16,2.55102
1986-05-19,6.52985
1986-05-20,-5.54583
1986-05-21,-4.01731
1986-05-22,3.28397
1986-05-23,5.67332
1986-05-26,.
1986-05-27,.
1986-05-28,-2.98013
1986-05-29,-1.02389
1986-05-30,-1.37931
1986-06-02,-3.49650
1986-06-03,-3.26087
1986-06-04,-1.49813
1986-06-05,0.45627
1986-06-06,-3.63361
1986-06-09,-0.94266
1986-06-10,-1.82395
1986-06-11,9.20840
1986-06-12,1.25740
1986-06-13,1.02264
1986-06-16,-1.30152
1986-06-17,0.00000
1986-06-18,-0.21978
1986-06-19,0.80764
1986-06-20,5.17116
1986-06-23,-2.70083
1986-06-24,-0.49822
1986-06-25,-5.36481
1986-06-26,-0.68027
1986-06-27,1.82648
1986-06-30,-4.33483
1986-07-01,-3.20313
1986-07-02,-2.82486
1986-07-03,-2.82392
1986-07-04,.
1986-07-07,.
1986-07-08,0.08945
1986-07-09,-1.69794
1986-07-10,1.18182
1986-07-11,0.00000
1986-07-14,0.89847
1986-07-15,5.52093
1986-07-16,7.00422
1986-07-17,-2.99685
1986-07-18,4.06504
1986-07-21,2.10938
1986-07-22,-16.75593
1986-07-23,-0.45956
1986-07-24,1.10803
1986-07-25,-1.09589
1986-07-28,2.40074
1986-07-29,4.86925
1986-07-30,0.85985
1986-07-31,-4.26257
1986-08-01,2.93856
1986-08-04,21.10727
1986-08-05,2.50000
1986-08-06,3.13589
1986-08-07,2.56757
1986-08-08,-2.30567
1986-08-11,0.60688
1986-08-12,3.88740
1986-08-13,-1.41935
1986-08-14,0.98168
1986-08-15,2.59235
1986-08-18,-1.57928
1986-08-19,-3.85109
1986-08-20,1.66889
1986-08-21,0.00000
1986-08-22,1.64150
1986-08-25,0.00000
1986-08-26,1.93798
