date;clean_energy;energy
31/08/2011;842.65;506.52
1/09/2011;824.99;502.12
2/09/2011;791.99;489.40
5/09/2011;776.69;
6/09/2011;755.55;483.84
7/09/2011;773.66;501.50
8/09/2011;759.44;495.38
9/09/2011;719.21;479.28
12/09/2011;704.91;481.82
13/09/2011;710.41;483.01
14/09/2011;722.09;489.21
15/09/2011;720.46;499.00
16/09/2011;708.14;498.61
19/09/2011;680.60;491.32
20/09/2011;661.78;488.29
21/09/2011;643.75;468.86
22/09/2011;604.95;444.02
23/09/2011;613.84;440.57
26/09/2011;615.85;456.24
27/09/2011;633.19;463.12
28/09/2011;611.35;449.20
29/09/2011;610.09;455.47
30/09/2011;591.40;442.79
3/10/2011;556.35;428.25
4/10/2011;562.97;441.75
5/10/2011;581.53;456.50
6/10/2011;614.39;463.77
7/10/2011;593.84;458.10
10/10/2011;610.01;478.54
11/10/2011;602.18;478.77
12/10/2011;615.41;482.46
13/10/2011;616.34;480.97
14/10/2011;624.33;498.17
17/10/2011;603.13;489.74
18/10/2011;610.20;504.50
19/10/2011;599.84;499.85
20/10/2011;598.67;503.17
21/10/2011;599.23;512.36
24/10/2011;623.16;518.25
25/10/2011;608.12;507.86
26/10/2011;614.02;519.27
27/10/2011;658.93;539.32
28/10/2011;662.63;541.85
31/10/2011;622.28;517.85
1/11/2011;594.27;501.74
2/11/2011;602.40;516.05
3/11/2011;602.32;528.90
4/11/2011;607.15;528.15
7/11/2011;609.70;531.96
8/11/2011;604.84;539.15
9/11/2011;588.81;516.19
10/11/2011;580.38;525.25
11/11/2011;597.43;534.89
14/11/2011;589.54;528.40
15/11/2011;580.71;527.60
16/11/2011;577.89;519.55
17/11/2011;572.88;508.53
18/11/2011;567.64;506.09
21/11/2011;551.39;497.56
22/11/2011;552.59;492.81
23/11/2011;542.44;478.52
24/11/2011;543.37;
25/11/2011;536.29;474.51
28/11/2011;553.82;491.48
29/11/2011;553.46;498.99
30/11/2011;580.86;526.41
1/12/2011;583.01;522.76
2/12/2011;580.11;522.32
5/12/2011;584.25;528.47
6/12/2011;574.90;528.85
7/12/2011;580.17;525.03
8/12/2011;566.91;511.58
9/12/2011;571.06;522.91
12/12/2011;558.33;510.61
13/12/2011;552.33;507.98
14/12/2011;537.15;494.18
15/12/2011;538.33;493.02
16/12/2011;540.15;497.40
19/12/2011;532.29;489.20
20/12/2011;546.05;508.52
21/12/2011;544.57;514.42
22/12/2011;551.42;520.29
23/12/2011;556.00;524.47
26/12/2011;554.24;
27/12/2011;551.50;525.49
28/12/2011;543.82;515.62
29/12/2011;548.33;521.62
30/12/2011;556.14;520.81
2/01/2012;560.97;
3/01/2012;569.01;534.38
4/01/2012;562.62;535.16
5/01/2012;556.18;531.91
6/01/2012;553.65;529.04
9/01/2012;559.45;532.06
10/01/2012;571.65;535.89
11/01/2012;589.51;528.84
12/01/2012;599.79;524.36
13/01/2012;584.38;522.47
16/01/2012;583.51;
17/01/2012;591.68;526.30
18/01/2012;603.51;534.25
19/01/2012;597.90;536.43
20/01/2012;597.26;537.00
23/01/2012;596.52;540.54
24/01/2012;590.88;539.10
25/01/2012;592.22;544.78
26/01/2012;602.26;537.56
27/01/2012;613.81;535.34
30/01/2012;605.24;533.06
31/01/2012;600.10;528.53
1/02/2012;607.74;530.95
2/02/2012;613.91;533.51
3/02/2012;622.92;543.29
6/02/2012;625.75;549.34
7/02/2012;633.12;552.03
8/02/2012;640.18;549.01
9/02/2012;666.18;548.72
10/02/2012;652.91;542.98
13/02/2012;647.13;547.41
14/02/2012;636.54;548.53
15/02/2012;634.10;546.77
16/02/2012;634.48;553.53
17/02/2012;647.15;555.03
20/02/2012;651.88;
21/02/2012;653.85;559.62
22/02/2012;648.11;560.74
23/02/2012;630.34;563.49
24/02/2012;623.77;565.66
27/02/2012;618.43;563.98
28/02/2012;623.44;563.14
29/02/2012;612.62;557.36
1/03/2012;611.78;562.47
2/03/2012;613.96;556.19
5/03/2012;605.96;554.41
6/03/2012;590.30;545.37
7/03/2012;588.38;548.83
8/03/2012;594.89;551.56
9/03/2012;600.77;550.80
12/03/2012;593.92;549.18
13/03/2012;604.39;556.16
14/03/2012;599.66;550.59
15/03/2012;605.23;551.31
